"","screen_name","location","created_at","followers","age_days","lon","lat"
"1","RLadiesSF","San Francisco","2012-10-15",886,1652.91666666667,-122.4194155,37.7749295
"2","RLadiesLondon","London, England","2016-04-20",1102,369.875,-0.1277583,51.5073509
"3","RLadiesRTP","Durham, NC","2016-06-28",215,300.875,-78.898619,35.9940329
"4","RLadiesCT","Connecticut, USA","2016-11-24",134,151.875,-73.087749,41.6032207
"5","RLadiesIstanbul","İstanbul, Türkiye","2016-09-06",425,230.875,28.9783589,41.0082376
"6","RLadiesBCN","Barcelona, Spain","2016-10-11",360,195.875,2.1734035,41.3850639
"7","RLadiesNYC","New York","2016-09-01",256,235.875,-74.0059413,40.7127837
"8","RLadiesBoston","Boston, MA","2016-09-06",247,230.875,-71.0588801,42.3600825
"9","RLadiesLA","Los Angeles, CA","2016-08-29",309,238.875,-118.2436849,34.0522342
"10","RLadiesMAD","Madrid, Spain","2016-09-03",384,233.875,-3.7037902,40.4167754
"11","RLadiesAU","Melbourne, Victoria","2016-09-02",404,234.875,144.9630576,-37.8136276
"12","RLadiesParis","Paris, France","2016-09-19",247,217.875,2.3522219,48.856614
"13","RLadiesLx","Lisbon","2016-10-26",182,180.875,-9.1393366,38.7222524
"14","RLadiesBerlin","Berlin, Deutschland","2016-10-03",192,203.875,13.404954,52.5200066
"15","RLadiesValencia","Valencia, España","2016-11-13",146,162.875,-0.3762881,39.4699075
"16","RLadiesNash","Nashville, TN","2016-09-28",179,208.875,-86.7816016,36.1626638
"17","RLadiesColumbus","Columbus, OH","2016-10-04",173,202.875,-82.9987942,39.9611755
"18","RLadiesAustin","Austin, TX","2016-12-15",100,130.875,-97.7430608,30.267153
"19","RLadiesAmes","Ames, IA","2016-11-30",115,145.875,-93.6319131,42.0307812
"20","RLadiesDC","Washington, DC","2016-12-08",114,137.875,-77.0368707,38.9071923
"21","RLadiesLdnOnt","London, Ontario","2017-01-19",75,95.875,-81.2452768,42.9849233
"22","RLadiesBA","Buenos Aires, Argentina","2017-01-05",174,109.875,-58.3815591,-34.6036844
"23","RLadiesDublin","Dublin City, Ireland","2017-01-21",71,93.875,-6.2603097,53.3498053
"24","RLadiesManchest","Manchester, England","2016-10-08",128,198.875,-2.2426305,53.4807593
"25","RLadiesTbilisi","Tbilisi","2016-11-29",85,146.875,44.827096,41.7151377
"26","RLadiesMunich","Munich, Bavaria","2017-03-21",46,34.875,11.5819806,48.1351253
"27","RLadiesAdelaide","Adelaide, South Australia","2017-02-20",26,63.875,138.6007456,-34.9284989
"28","RLadiesTC","Twin Cities","2015-04-04",86,751.875,-93.2009998,44.9374831
"29","RLadiesBudapest","Budapest, Magyarország","2017-01-23",61,91.875,19.040235,47.497912
"30","RLadiesIzmir","Izmir, Turkey","2016-10-19",88,187.875,27.142826,38.423734
"31","RLadiesLima","Lima, Peru","2016-10-08",37,198.875,-77.042754,-12.0463731
"32","RLadiesCapeTown","Cape Town, South Africa","2017-03-06",44,49.875,18.4240553,-33.9248685
"33","RLadiesRio","Rio de Janeiro, Brazil","2017-01-15",18,99.875,-43.1728965,-22.9068467
"34","RLadiesSR","Santa Rosa, Argentina","2017-04-06",5,18.875,-64.2912369,-36.620922
"35","RLadiesMTL","Montreal","2017-04-13",1,11.875,-73.567256,45.5016889
"36","RLadiesTaipei","Taipei","2014-11-15",347,891.916666666667,121.5654177,25.0329694
